,itemLabel,pubmedid,year,eupcm_citations
0,2015 awards: China Nobel stirs up attack on academies.,26511571,2014.0,1
1,"3.3-million-year-old stone tools from Lomekwi 3, West Turkana, Kenya",25993961,2006.0,90
2,A Cretaceous eutriconodont and integument evolution in early mammals,26469049,2008.0,13
3,A LAIR1 insertion generates broadly reactive antibodies against malaria variant antigens.,26700814,2008.0,43
4,A Mercury-like component of early Earth yields uranium in the core and high mantle (142)Nd.,25877203,2005.0,2
5,A bizarre Jurassic maniraptoran theropod with preserved evidence of membranous wings,25924069,2007.0,28
6,A circuit mechanism for differentiating positive and negative associations.,25925480,2007.0,149
7,A colloidal quantum dot spectrometer.,26135449,2006.0,38
8,A comprehensive phylogeny of birds (Aves) using targeted next-generation DNA sequencing.,26444237,2011.0,273
9,A concise synthesis of (+)-batzelladine B from simple pyrrole-based starting materials.,26375010,2006.0,9
10,A cytosolic network suppressing mitochondria-mediated proteostatic stress and cell death,26192197,2009.0,66
11,A direct GABAergic output from the basal ganglia to frontal cortex.,25739505,2005.5,84
12,A disease of growth.,25970455,2011.5,7
13,A disintegrating minor planet transiting a white dwarf,26490620,2007.0,3
14,"A focus on adolescence to reduce neurological, mental health and substance-use disability.",26580322,2012.0,23
15,A four-helix bundle stores copper for methane oxidation,26308900,2009.0,26
16,A giant protogalactic disk linked to the cosmic web.,26245373,2013.0,0
17,A global perspective on the influence of environmental exposures on the nervous system,26580326,2011.0,8
18,A global reference for human genetic variation,26432245,2012.0,2720
19,A gp130-Src-YAP module links inflammation to epithelial regeneration.,25731159,2010.0,153
20,A hemi-fission intermediate links two mechanistically distinct stages of membrane fission,26123023,2010.0,36
21,A human tRNA synthetase is a potent PARP1-activating effector target for resveratrol,25533949,2009.0,47
22,A large-scale dynamo and magnetoturbulence in rapidly rotating core-collapse supernovae.,26618868,2006.0,3
23,A marine biogenic source of atmospheric ice-nucleating particles.,26354482,2011.0,42
24,A mechanism for expansion of regulatory T-cell repertoire and its role in self-tolerance.,26605529,2011.0,44
25,A mechanism for the suppression of homologous recombination in G1 cells.,26649820,2012.0,151
26,A model of breast cancer heterogeneity reveals vascular mimicry as a driver of metastasis.,25855289,2010.0,104
27,A model-tested North Atlantic Oscillation reconstruction for the past millennium.,26135450,2011.0,15
28,A molecular mechanism of artemisinin resistance in Plasmodium falciparum malaria,25874676,2010.0,170
29,A motor cortex circuit for motor planning and movement.,25731172,2011.0,104
30,A multilevel multimodal circuit enhances action selection in Drosophila.,25896325,2007.0,100
31,A naturally occurring variant of the human prion protein completely prevents prion disease.,26061765,2004.0,43
32,A new cyanogenic metabolite in Arabidopsis required for inducible pathogen defence,26352477,2009.0,45
33,A new heart for a new head in vertebrate cardiopharyngeal evolution,25903628,2008.0,70
34,A noisy linear map underlies oscillations in cell size and gene expression in bacteria.,26040722,2010.0,47
35,A novel locus of resistance to severe malaria in a region of ancient balancing selection,26416757,2010.0,58
36,A novel multiple-stage antimalarial agent that inhibits protein synthesis,26085270,2011.0,116
37,A perisinusoidal niche for extramedullary haematopoiesis in the spleen.,26570997,2009.0,63
38,"A permanent, asymmetric dust cloud around the Moon.",26085272,1999.0,1
39,A possible close supermassive black-hole binary in a quasar with optical periodicity.,25561176,2008.5,2
40,A prefrontal-thalamo-hippocampal circuit for goal-directed spatial navigation.,26017312,2007.0,99
41,A primordial origin for the compositional similarity between the Earth and the Moon.,25855458,2007.0,6
42,"A resource for cell line authentication, annotation and quality control.",25877200,2008.5,66
43,A seismic reflection image for the base of a tectonic plate.,25653000,2009.5,9
44,A self-organized biomechanical network drives shape changes during tissue morphogenesis.,26214737,2008.0,93
45,A sexually dimorphic hypothalamic circuit controls maternal care and oxytocin secretion.,26375004,2011.0,55
46,A spatial model predicts that dispersal and cell turnover limit intratumour heterogeneity.,26308893,2011.0,144
47,A spin-down clock for cool stars from observations of a 2.5-billion-year-old cluster.,25539085,2003.0,5
48,A strong ultraviolet pulse from a newborn type Ia supernova.,25993962,2012.0,3
49,A subthermionic tunnel field-effect transistor with an atomically thin channel.,26432247,2011.5,72
50,A temporal shift in the circuits mediating retrieval of fear memory.,25600268,2009.5,113
51,A tumour through time.,26580155,1995.0,2
52,AAV-expressed eCD4-Ig provides durable protection from multiple SHIV challenges.,25707797,2006.5,125
53,ATG14 promotes membrane tethering and fusion of autophagosomes to endolysosomes,25686604,2009.0,134
54,Ab initio alpha-alpha scattering.,26632590,2010.0,2
55,Abundant molecular oxygen in the coma of comet 67P/Churyumov-Gerasimenko.,26511578,2011.5,18
56,Accreting protoplanets in the LkCa 15 transition disk.,26581290,2011.0,4
57,Activating positive memory engrams suppresses depression-like behaviour.,26085274,2011.0,67
58,Acute off-target effects of neural circuit manipulations.,26649821,2007.0,99
59,Addiction: Protect the young from e-cigarettes.,26245572,2014.0,1
60,Aerodynamics: Vortices and robobees.,25992677,2009.5,0
61,Agriculture: A new breed of edits.,26630594,2014.0,5
62,Agrochemical control of plant water use using engineered abscisic acid receptors,25652827,2010.0,54
63,"Aichi targets: Protect biodiversity, not just area.",26450045,2014.0,4
64,Air pollution: Harmful soot spurs climate-policy action.,25557706,2014.0,1
65,Alcohols as alkylating agents in heteroarene C-H functionalization.,26308895,2013.0,71
66,Allogeneic IgG combined with dendritic cell stimuli induce antitumour T-cell immunity.,25924063,2005.0,53
67,Allosteric ligands for the pharmacologically dark receptors GPR68 and GPR65.,26550826,2008.5,61
68,Allosteric receptor activation by the plant peptide hormone phytosulfokine,26308901,2009.0,56
69,Alternative 3' UTRs act as scaffolds to regulate membrane protein localization,25896326,2005.0,100
70,Alternative transcription initiation leads to expression of a novel ALK isoform in cancer.,26444240,2010.0,67
71,Ammoniated phyllosilicates with a likely outer Solar System origin on (1) Ceres.,26659184,2010.5,11
72,An alternative pluripotent state confers interspecies chimaeric competency,25945737,2010.5,84
73,An anisotropic hydrogel with electrostatic repulsion between cofacially aligned nanosheets.,25557713,2008.0,63
74,"An aqueous, polymer-based redox-flow battery using non-corrosive, safe, and low-cost materials",26503039,2012.0,54
75,An atomic structure of human γ-secretase,26280335,2009.0,152
76,An early modern human from Romania with a recent Neanderthal ancestor,26098372,2012.5,118
77,An enigmatic plant-eating theropod from the Late Jurassic period of Chile.,25915021,2009.0,10
78,An epigenome-wide association study of total serum immunoglobulin E concentration.,25707804,2010.0,79
79,An extremely high-altitude plume seen at Mars' morning terminator.,25686601,2007.5,2
80,An extremely young massive clump forming by gravitational collapse in a primordial galaxy.,25951282,2011.0,0
81,"An integrated map of structural variation in 2,504 human genomes.",26432246,2011.0,467
82,An observational radiative constraint on hydrologic cycle intensification.,26659186,2011.0,3
83,An ultraluminous quasar with a twelve-billion-solar-mass black hole at redshift 6.30.,25719667,2007.0,8
84,Ancient proteins resolve the evolutionary history of Darwin’s South American ungulates,25799987,2011.0,40
85,Animal behaviour: Come mate with me.,26444375,2011.0,0
86,Animal behaviour: Nested instincts.,25992675,2014.0,0
87,Animal research: share surplus animal tissue.,26062499,2015.0,2
88,Anomalocaridid trunk limb homology revealed by a giant filter-feeder with paired flaps,25762145,2010.0,18
89,Anomalous dispersions of 'hedgehog' particles.,25631447,2010.0,20
90,Antibiotics: An irresistible newcomer.,25561172,2013.0,9
91,Antibiotics: Homed to the hideout.,26536107,2013.0,2
92,Antibody against early driver of neurodegeneration cis P-tau blocks brain injury and tauopathy,26176913,2011.0,120
93,Antibody anarchy: A call to order.,26607547,2011.5,35
94,Apico-basal forces exerted by apoptotic cells drive epithelium folding.,25607361,2009.5,61
95,Archaeology: Sources of Chaco wood.,26700808,2003.0,0
96,Archaeology: Tools go back in time.,25993954,2010.0,2
97,Architecture of a protein entry gate,26605527,2013.0,1
98,Architecture of the RNA polymerase II-Mediator core initiation complex,25652824,2010.0,123
99,Architecture of the mammalian mechanosensitive Piezo1 channel,26390154,2012.0,95
100,Architecture of the synaptotagmin-SNARE machinery for neuronal exocytosis,26280336,2009.0,93
101,Arithmetic and local circuitry underlying dopamine prediction errors.,26322583,2009.0,79
102,Artificial intelligence: Learning to see and act.,25719660,2015.0,3
103,Artificial intelligence: Robots with instincts.,26017437,2009.5,2
104,Astrochemistry: Fullerene solves an interstellar puzzle.,26178960,1995.0,1
105,Astronomy: A Mars-sized exoplanet.,26085265,2014.0,0
106,Astronomy: Cosmic fog and smog.,25612047,1983.0,1
107,Astronomy: Pluto leads the way in planet formation.,26040888,2011.5,0
108,Astrophysics: A twist in the tale of γ-ray bursts.,26156370,2013.0,0
109,Astrophysics: The slow death of red galaxies.,25971504,2007.0,0
110,Atmospheric science: Sea-spray particles cause freezing in clouds.,26354479,2013.0,1
111,Atmospheric science: The death toll from air-pollution sources.,26381981,2014.0,11
112,Atomic Hong–Ou–Mandel experiment,25832404,2005.0,16
113,Atomic inner-shell laser at 1.5-ångström wavelength pumped by an X-ray free-electron laser.,26310765,2013.0,20
114,Atomic structure of anthrax protective antigen pore elucidates toxin translocation,25778700,2007.0,81
115,Atomic structure of the APC/C and its mechanism of protein ubiquitination.,26083744,2011.0,71
116,Australia is 'free to choose' economic growth and falling environmental pressures.,26536956,2010.0,10
117,Autophagy mediates degradation of nuclear lamina,26524528,2011.0,113
118,Axitinib effectively inhibits BCR-ABL1(T315I) with a distinct binding conformation,25686603,2009.0,72
119,BCL11A enhancer dissection by Cas9-mediated in situ saturating mutagenesis,26375006,2013.0,208
120,BET inhibitor resistance emerges from leukaemia stem cells.,26367796,2011.0,155
121,Bacteriocin production augments niche competition by enterococci in the mammalian gastrointestinal tract.,26479034,2009.0,114
122,Barcoding reveals complex clonal dynamics of de novo transformed human mammary cells.,26633636,2011.5,30
123,Basin-scale transport of hydrothermal dissolved metals across the South Pacific Ocean.,26156374,2010.0,30
124,Basomedial amygdala mediates top-down control of anxiety and fear.,26536109,2009.5,87
125,Be prepared: Europe needs Ebola outbreak consortium.,26135440,2014.5,1
126,Beating the Stoner criterion using molecular interfaces.,26245580,2010.0,17
127,Bees prefer foods containing neonicotinoid pesticides,25901684,2012.0,86
128,Behavioural economics: Visible inequality breeds more inequality.,26469042,2014.5,0
129,Beijing 2022: Olympics will make water scarcity worse.,26399818,2015.0,4
130,Binding of dinitrogen to an iron-sulfur-carbon site,26416755,2012.0,31
131,Biochemistry: Breaking methane.,25607367,2010.5,3
132,Biochemistry: Unexpected role for vitamin B2.,26083748,2011.5,3
133,Biocontainment of genetically modified organisms by synthetic protein design,25607366,2009.0,105
134,Biodiversity increases the resistance of ecosystem productivity to climate extremes.,26466564,2008.5,104
135,Biodiversity: Hidden impacts of logging.,26156368,2014.0,2
136,Biodiversity: Include freshwater species.,25673401,2009.0,0
137,Biodiversity: Land use matters.,25832399,2013.0,6
138,Biodiversity: Multiple origins of mountain life.,26266978,2013.0,2
139,Biodiversity: Recovery as nitrogen declines.,26633634,2003.0,4
140,Biodiversity: Sharks and rays in peril too.,25673403,2014.0,0
141,Biodiversity: The benefits of traditional knowledge.,25719661,2014.0,6
142,Biogenesis and structure of a type VI secretion membrane core complex,26200339,2010.0,84
143,Biogeochemistry: Iron's voyage from the abyss.,26156367,2013.5,0
144,Biogeochemistry: signs of saturation in the tropical carbon sink.,25788092,2012.5,3
145,Biological rhythms: Human sleep before the industrial era.,26560297,2013.0,0
146,Biomechanics: Boxed up and ready to go.,25592528,2005.0,1
147,Bipolar seesaw control on last interglacial sea level.,26062511,2009.0,13
148,Blindness: Assassins of eyesight.,26607542,2013.5,3
149,Boron isotope evidence for oceanic carbon dioxide leakage during the last deglaciation.,25673416,2009.0,15
150,Botany: The cultivation of weed.,26398737,2008.0,1
151,Bovine tuberculosis: Badger-cull targets unlikely to reduce TB.,26511569,2005.0,4
152,Brain and other nervous system disorders across the lifespan - global challenges and opportunities.,26580320,2013.0,17
153,Brain cancer: Tumour cells on neighbourhood watch.,26536108,2012.0,8
154,Brain disorders across the lifespan.,26580319,2013.0,1
155,Brain tumour cells interconnect to a functional and resistant network.,26536111,2011.0,158
156,Branch-specific dendritic Ca(2+) spikes cause persistent synaptic plasticity,25822789,2008.0,100
157,Brittle intermetallic compound makes ultrastrong low-density steel with large ductility.,25652998,2013.0,23
158,Broad CTL response is required to clear latent HIV-1 due to dominance of escape mutations,25561180,2009.0,232
159,Broad plumes rooted at the base of the Earth's mantle beneath major hotspots.,26333468,2007.0,30
160,Building global capacity for brain and nervous system disorders research.,26580329,2012.0,4
161,Building the foundation for genomics in precision medicine.,26469044,2013.0,88
162,CDA directs metabolism of epigenetic nucleosides revealing a therapeutic window in cancer,26200337,2009.0,26
163,CEACAM1 regulates TIM-3-mediated tolerance and exhaustion,25363763,2006.0,119
164,CMT2D neuropathy is linked to the neomorphic binding activity of glycyl-tRNA synthetase.,26503042,2006.0,43
165,CRISPR adaptation biases explain preference for acquisition of foreign DNA,25874675,2011.0,131
166,CRISPR-Cas immunity in prokaryotes.,26432244,2012.0,205
167,Cancer immunotherapy: dendritic-cell vaccines on the move.,25762139,2010.0,27
168,Cancer metabolism: A waste of insulin interference.,26017439,2013.0,9
169,Cancer: A dendritic-cell brake on antitumour immunity,26178959,2010.0,1
170,Cancer: A moving target.,26308890,2014.0,3
